Level,Date and Time,Source,Event ID,Task Category
Information,4/25/2026 5:47:30 PM,Microsoft-Windows-Sysmon,7,Image loaded (rule: ImageLoad),"Image loaded:
RuleName: technique_id=T1574.002,technique_name=DLL Side-Loading
UtcTime: 2026-04-25 07:47:30.414
ProcessGuid: {9172be70-7191-69ec-9804-000000001f00}
ProcessId: 8316
Image: C:\Program Files\Splunk\bin\python3.13.exe
ImageLoaded: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26020.6-0\MpOAV.dll
FileVersion: 4.18.26020.6 (cd0aebd7c18a68cd2e3af14a117b45b178d088f4)
Description: IOfficeAntiVirus Module
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: MpOAV.dll
Hashes: SHA1=8350F492FC8773C7AD990D4218D9AD1E0C7A3130,MD5=55DCD381DFBB9B84092E09B8D3A7A4CD,SHA256=4FE2F89B85BEE4455BECEF8450A6459B2F9AF50E991A86A8A863FA86AAC3F69E,IMPHASH=876F81A277BF4C5C958E4D3BDB07CFEB
Signed: true
Signature: Microsoft Windows
SignatureStatus: Valid
User: NT AUTHORITY\SYSTEM"
Information,4/25/2026 5:47:30 PM,Microsoft-Windows-Sysmon,7,Image loaded (rule: ImageLoad),"Image loaded:
RuleName: technique_id=T1059.001,technique_name=PowerShell
UtcTime: 2026-04-25 07:47:30.405
ProcessGuid: {9172be70-7191-69ec-9804-000000001f00}
ProcessId: 8316
Image: C:\Program Files\Splunk\bin\python3.13.exe
ImageLoaded: C:\Windows\System32\amsi.dll
FileVersion: 10.0.19041.4355 (WinBuild.160101.0800)
Description: Anti-Malware Scan Interface
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: amsi.dll
Hashes: SHA1=347368018E1DAAF4F52C9A4119526313A82ECEEC,MD5=4933108BD5B3219F74AD807DFE8835AD,SHA256=66F7A134F6A4D9FE63DD7D6FF88DDED5796E4D5C7E33BA606DFF4D87D9258C0D,IMPHASH=C414C6B76EBCEEF67B5B752A7E51D4D2
Signed: true
Signature: Microsoft Windows
SignatureStatus: Valid
User: NT AUTHORITY\SYSTEM"
Information,4/25/2026 5:47:16 PM,Microsoft-Windows-Sysmon,17,Pipe Created (rule: PipeEvent),"Pipe Created:
RuleName: -
EventType: CreatePipe
UtcTime: 2026-04-25 07:47:16.730
ProcessGuid: {9172be70-6e0d-69ec-ef00-000000001f00}
ProcessId: 6348
PipeName: \LOCAL\mojo.6348.2104.6750742549540887753
Image: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe
User: WIN10DEMO\jolly"
Information,4/25/2026 5:47:16 PM,Microsoft-Windows-Sysmon,17,Pipe Created (rule: PipeEvent),"Pipe Created:
RuleName: -
EventType: CreatePipe
UtcTime: 2026-04-25 07:47:16.720
ProcessGuid: {9172be70-6e0d-69ec-ef00-000000001f00}
ProcessId: 6348
PipeName: \LOCAL\mojo.6348.2104.12344370996952675875
Image: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe
User: WIN10DEMO\jolly"
Information,4/25/2026 5:47:16 PM,Microsoft-Windows-Sysmon,17,Pipe Created (rule: PipeEvent),"Pipe Created:
RuleName: -
EventType: CreatePipe
UtcTime: 2026-04-25 07:47:16.710
ProcessGuid: {9172be70-6e0d-69ec-ef00-000000001f00}
ProcessId: 6348
PipeName: \LOCAL\mojo.6348.2104.18142968561955320702
Image: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe
User: WIN10DEMO\jolly"
Information,4/25/2026 5:47:16 PM,Microsoft-Windows-Sysmon,17,Pipe Created (rule: PipeEvent),"Pipe Created:
RuleName: -
EventType: CreatePipe
UtcTime: 2026-04-25 07:47:16.659
ProcessGuid: {9172be70-7184-69ec-8f04-000000001f00}
ProcessId: 8928
PipeName: \LOCAL\mojo.8928.4980.15499252601626080930
Image: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe
User: WIN10DEMO\jolly"
Information,4/25/2026 5:47:16 PM,Microsoft-Windows-Sysmon,17,Pipe Created (rule: PipeEvent),"Pipe Created:
RuleName: -
EventType: CreatePipe
UtcTime: 2026-04-25 07:47:16.627
ProcessGuid: {9172be70-6e0d-69ec-ef00-000000001f00}
ProcessId: 6348
PipeName: \LOCAL\mojo.6348.2104.10925354346253848574
Image: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe
User: WIN10DEMO\jolly"
Information,4/25/2026 5:47:16 PM,Microsoft-Windows-Sysmon,17,Pipe Created (rule: PipeEvent),"Pipe Created:
RuleName: -
EventType: CreatePipe
UtcTime: 2026-04-25 07:47:16.625
ProcessGuid: {9172be70-6e0d-69ec-ef00-000000001f00}
ProcessId: 6348
PipeName: \LOCAL\mojo.6348.2104.48389580239135183
Image: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe
User: WIN10DEMO\jolly"
Information,4/25/2026 5:47:16 PM,Microsoft-Windows-Sysmon,17,Pipe Created (rule: PipeEvent),"Pipe Created:
RuleName: -
EventType: CreatePipe
UtcTime: 2026-04-25 07:47:16.625
ProcessGuid: {9172be70-6e0d-69ec-ef00-000000001f00}
ProcessId: 6348
PipeName: \LOCAL\mojo.6348.2104.9609599540452168223
Image: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe
User: WIN10DEMO\jolly"
Information,4/25/2026 5:47:16 PM,Microsoft-Windows-Sysmon,17,Pipe Created (rule: PipeEvent),"Pipe Created:
RuleName: -
EventType: CreatePipe
UtcTime: 2026-04-25 07:47:16.614
ProcessGuid: {9172be70-6e0d-69ec-ef00-000000001f00}
ProcessId: 6348
PipeName: \LOCAL\mojo.6348.2104.18208285046552215927
Image: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe
User: WIN10DEMO\jolly"
